Rk,School,G,Tm.,Opp.,PPG,OPPG,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,STL/TOV,PF,PFPG,FT/FGA,FGPG,FGAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,TRBPG,APG,SPG,BPG,TOPG,AST/TO,3P Ratio,NET
1,Abilene Christian,33,2458,2082,74.48484848,63.09090909,880,1858,0.474,246,637,0.386,452,632,0.715,322,1093,514,288,90,397,0.725440806,619,18.75757576,0.243272336,26.66666667,56.3030303,7.454545455,19.3030303,13.6969697,19.15151515,9.757575758,33.12121212,15.57575758,8.727272727,2.727272727,12.03030303,1.294710327,0.279545455,0.561253561
2,Air Force,32,2179,2294,68.09375,71.6875,802,1777,0.451,234,712,0.329,341,503,0.678,253,1077,434,154,57,423,0.364066194,543,16.96875,0.191896455,25.0625,55.53125,7.3125,22.25,10.65625,15.71875,7.90625,33.65625,13.5625,4.8125,1.78125,13.21875,1.026004728,0.291770574,0.310541311
3,Akron,33,2271,2107,68.81818182,63.84848485,797,1948,0.409,297,929,0.32,380,539,0.705,312,1204,399,185,106,388,0.476804124,569,17.24242424,0.195071869,24.15151515,59.03030303,9,28.15151515,11.51515152,16.33333333,9.454545455,36.48484848,12.09090909,5.606060606,3.212121212,11.75757576,1.028350515,0.372647428,0.675213675
4,Alabama A&M,32,1938,2285,60.5625,71.40625,736,1807,0.407,182,576,0.316,284,453,0.627,314,1025,384,234,49,487,0.480492813,587,18.34375,0.157166574,23,56.46875,5.6875,18,8.875,14.15625,9.8125,32.03125,12,7.3125,1.53125,15.21875,0.788501027,0.247282609,0.014245014
5,Alabama-Birmingham,34,2392,2287,70.35294118,67.26470588,879,1938,0.454,227,675,0.336,407,607,0.671,353,1237,395,215,80,388,0.554123711,559,16.44117647,0.21001032,25.85294118,57,6.676470588,19.85294118,11.97058824,17.85294118,10.38235294,36.38235294,11.61764706,6.323529412,2.352941176,11.41176471,1.018041237,0.258248009,0.621082621
6,Alabama State,31,2086,2235,67.29032258,72.09677419,712,1763,0.404,216,674,0.32,446,684,0.652,365,1094,313,203,102,451,0.450110865,565,18.22580645,0.252977879,22.96774194,56.87096774,6.967741935,21.74193548,14.38709677,22.06451613,11.77419355,35.29032258,10.09677419,6.548387097,3.290322581,14.5483871,0.694013304,0.303370787,0.05982906
7,Alabama,33,2369,2353,71.78787879,71.3030303,827,1876,0.441,233,688,0.339,482,722,0.668,368,1241,401,152,154,449,0.338530067,560,16.96969697,0.256929638,25.06060606,56.84848485,7.060606061,20.84848485,14.60606061,21.87878788,11.15151515,37.60606061,12.15151515,4.606060606,4.666666667,13.60606061,0.893095768,0.281741233,0.831908832
8,Albany (NY),32,2150,2216,67.1875,69.25,728,1750,0.416,274,790,0.347,420,564,0.745,294,1083,402,195,78,454,0.429515419,566,17.6875,0.24,22.75,54.6875,8.5625,24.6875,13.125,17.625,9.1875,33.84375,12.5625,6.09375,2.4375,14.1875,0.885462555,0.376373626,0.227920228
9,Alcorn State,31,1995,2194,64.35483871,70.77419355,709,1721,0.412,211,646,0.327,366,543,0.674,334,1079,391,229,107,492,0.465447154,548,17.67741935,0.212667054,22.87096774,55.51612903,6.806451613,20.83870968,11.80645161,17.51612903,10.77419355,34.80645161,12.61290323,7.387096774,3.451612903,15.87096774,0.794715447,0.297602257,0.008547009
10,American,30,2161,2070,72.03333333,69,780,1643,0.475,190,583,0.326,411,589,0.698,251,1013,401,221,131,386,0.57253886,520,17.33333333,0.250152161,26,54.76666667,6.333333333,19.43333333,13.7,19.63333333,8.366666667,33.76666667,13.36666667,7.366666667,4.366666667,12.86666667,1.038860104,0.243589744,0.495726496
